Name of Student,GENERAL_APPEARANCE,MANNER_OF_SPEAKING,PHYSICAL_CONDITION,MENTAL_ALERTNESS,SELF_CONFIDENCE,ABILITY_TO_PRESENT IDEAS,COMMUNICATION_SKILLS,Student_Performance_Rating,CLASS
Student 1050,5,5,5,5,3,4,5,5,Employable
Student 1051,2,4,3,4,3,4,4,5,LessEmployable
Student 1052,2,3,4,4,3,3,3,4,LessEmployable
Student 1053,4,3,4,4,4,4,4,5,LessEmployable
Student 1054,2,3,4,4,2,4,4,5,LessEmployable
Student 1055,2,4,4,4,3,4,5,5,LessEmployable
Student 1056,4,3,3,3,3,3,3,3,Employable
Student 1057,2,3,4,3,5,3,3,3,Employable
Student 1058,4,4,3,4,3,4,3,5,Employable
Student 1059,5,4,4,3,4,4,3,4,LessEmployable
Student 1060,5,4,4,3,5,4,4,4,LessEmployable
Student 1061,1,3,2,4,4,4,3,5,LessEmployable
Student 1062,3,5,5,4,4,4,5,5,LessEmployable
Student 1063,4,2,4,4,5,3,3,5,LessEmployable
Student 1064,4,5,5,5,4,5,5,5,LessEmployable
Student 1065,5,3,3,4,4,3,3,3,Employable
Student 1066,1,4,3,3,2,3,2,3,LessEmployable
Student 1067,3,5,5,5,1,4,5,5,Employable
Student 1068,5,5,5,5,4,5,5,3,LessEmployable
Student 1069,2,5,5,3,4,5,3,5,LessEmployable
Student 1070,2,5,3,5,3,5,3,5,Employable
Student 1071,4,5,5,3,1,5,3,5,Employable
Student 1072,4,3,3,3,5,3,3,5,Employable
Student 1073,3,3,4,4,4,3,3,5,Employable
Student 1074,3,3,4,2,4,2,2,5,LessEmployable
Student 1075,2,2,3,3,4,3,3,5,LessEmployable
Student 1076,2,5,4,5,3,5,4,5,LessEmployable
Student 1077,5,4,3,4,3,4,3,5,Employable
Student 1078,1,3,3,3,4,3,3,5,Employable
Student 1079,5,4,4,4,2,4,4,5,Employable
Student 1080,4,4,4,4,2,4,4,4,Employable
Student 1081,1,4,4,4,2,3,3,5,LessEmployable
Student 1082,4,4,5,5,2,5,4,5,LessEmployable
Student 1083,2,4,3,3,5,3,3,5,LessEmployable
Student 1084,2,3,3,3,4,3,3,5,Employable
Student 1085,3,5,4,4,5,4,4,5,LessEmployable
Student 1086,3,4,4,4,4,4,4,5,Employable
Student 1087,4,5,4,5,5,4,5,4,Employable
Student 1088,4,4,4,4,4,5,5,3,Employable
Student 1089,2,3,3,4,4,3,3,5,LessEmployable
Student 1090,5,5,5,5,5,4,4,5,Employable
Student 1091,2,4,4,3,2,4,3,5,Employable
Student 1092,5,4,4,3,5,4,3,5,Employable
Student 1093,3,5,4,5,5,5,5,5,Employable
Student 1094,4,4,4,4,5,4,3,5,Employable
Student 1095,5,3,3,3,5,3,2,5,LessEmployable
Student 1096,1,3,3,2,4,3,3,5,LessEmployable
Student 1097,4,4,3,3,2,4,3,5,Employable
Student 1098,5,4,3,3,3,3,3,5,Employable
Student 1099,2,4,4,3,4,3,3,3,Employable
Student 1100,4,3,3,4,2,3,3,5,Employable
Student 1101,4,4,4,4,4,4,4,5,Employable
Student 1102,3,4,3,4,5,4,4,5,Employable
Student 1103,3,5,5,5,3,5,4,5,LessEmployable
Student 1104,2,4,4,4,5,4,4,5,Employable
Student 1105,2,3,3,2,3,3,2,5,LessEmployable
Student 1106,4,3,3,3,5,2,2,4,LessEmployable
Student 1107,4,4,3,4,3,4,3,5,LessEmployable
Student 1108,1,3,3,3,2,3,3,4,LessEmployable
Student 1109,5,3,3,3,4,3,3,4,LessEmployable
Student 1110,1,4,4,4,2,4,4,5,LessEmployable
Student 1111,5,4,4,5,2,4,4,5,LessEmployable
Student 1112,4,3,3,4,5,4,3,5,LessEmployable
Student 1113,4,4,5,4,3,4,4,5,Employable
Student 1114,5,4,4,4,5,4,4,3,Employable
Student 1115,2,4,5,5,1,5,4,5,Employable
Student 1116,4,3,3,3,2,3,3,3,LessEmployable
Student 1117,2,5,5,5,3,4,4,4,Employable
Student 1118,1,5,4,4,3,5,4,3,Employable
Student 1119,2,4,4,4,2,3,3,3,LessEmployable
Student 1120,5,5,5,5,4,4,4,3,Employable
Student 1121,3,4,4,4,1,5,4,5,Employable
Student 1122,1,5,5,5,3,5,4,5,Employable
Student 1123,3,3,4,4,3,4,3,5,LessEmployable
Student 1124,3,3,4,4,5,3,3,3,LessEmployable
Student 1125,2,5,4,5,4,4,4,5,LessEmployable
Student 1126,1,4,4,5,3,4,3,5,LessEmployable
Student 1127,3,4,5,5,4,5,5,5,Employable
Student 1128,2,3,3,4,4,3,3,3,Employable
Student 1129,3,5,5,5,2,5,4,5,Employable
Student 1130,3,5,4,5,3,5,5,5,Employable
Student 1131,5,4,3,3,3,4,4,3,LessEmployable
Student 1132,3,5,5,5,2,4,4,5,Employable
Student 1133,2,5,5,5,3,4,4,5,Employable
Student 1134,2,4,5,5,1,4,4,3,Employable
Student 1135,3,4,5,5,3,4,4,5,Employable
Student 1136,4,3,4,3,1,3,3,5,LessEmployable
Student 1137,4,4,5,5,1,4,4,5,LessEmployable
Student 1138,2,3,4,4,2,4,3,5,LessEmployable
Student 1139,1,3,3,3,4,3,3,3,LessEmployable
Student 1140,3,4,5,5,2,4,4,5,Employable
Student 1141,4,5,5,5,3,4,4,3,Employable
Student 1142,5,4,5,5,3,4,4,5,Employable
Student 1143,2,5,5,5,4,5,4,5,Employable
Student 1144,4,4,5,5,5,4,4,5,Employable
Student 1145,1,5,5,5,3,5,4,5,Employable
Student 1146,1,4,5,5,2,4,4,3,Employable
Student 1147,4,3,4,4,3,4,3,5,LessEmployable
Student 1148,2,4,4,4,2,4,4,5,LessEmployable
Student 1149,3,4,5,5,4,4,4,4,Employable
Student 1150,5,5,4,4,1,5,4,5,Employable
Student 1151,5,3,3,3,4,3,3,5,Employable
Student 1152,4,4,4,4,2,4,4,5,LessEmployable
Student 1153,1,3,3,4,3,3,3,5,Employable
Student 1154,2,4,4,3,3,3,3,5,Employable
Student 1155,2,4,4,3,4,3,3,4,LessEmployable
Student 1156,4,4,4,4,2,4,4,4,Employable
Student 1157,3,3,3,4,4,3,3,5,Employable
Student 1158,3,5,3,5,3,5,5,5,Employable
Student 1159,5,4,4,4,2,4,4,5,Employable
Student 1160,1,5,5,5,4,5,5,5,Employable
Student 1161,3,4,4,4,2,4,4,4,Employable
Student 1162,4,3,3,3,4,3,3,5,Employable
Student 1163,3,4,3,4,5,4,3,5,Employable
Student 1164,2,4,4,4,3,4,4,5,LessEmployable
Student 1165,4,3,3,3,1,3,4,5,LessEmployable
Student 1166,3,4,4,4,2,4,3,4,Employable
Student 1167,2,4,4,4,2,4,3,5,Employable
Student 1168,4,4,4,4,1,4,4,5,Employable
Student 1169,3,4,4,3,3,4,4,5,Employable
Student 1170,4,4,4,3,3,4,3,5,LessEmployable
Student 1171,3,3,2,3,5,2,3,5,Employable
Student 1172,4,3,4,3,2,3,3,4,Employable
Student 1173,4,4,3,4,1,4,3,5,LessEmployable
Student 1174,3,4,4,4,5,3,3,5,Employable
Student 1175,1,3,3,4,3,3,3,4,LessEmployable
Student 1176,4,3,3,3,3,3,2,5,Employable
Student 1177,1,4,4,4,1,4,4,5,Employable
Student 1178,5,5,4,5,1,4,4,5,Employable
Student 1179,3,4,4,3,4,4,3,5,LessEmployable
Student 1180,4,4,4,4,2,4,4,5,Employable
Student 1181,3,5,5,5,2,5,4,5,Employable
Student 1182,4,3,3,3,2,2,2,4,Employable
Student 1183,3,4,4,4,2,4,3,5,LessEmployable
Student 1184,5,4,4,4,3,4,4,5,LessEmployable
Student 1185,3,3,3,3,3,3,2,5,Employable
Student 1186,4,4,4,4,3,4,4,4,Employable
Student 1187,2,3,3,3,1,3,3,5,LessEmployable
Student 1188,4,3,4,3,2,3,3,5,Employable
Student 1189,3,3,4,3,3,3,2,5,Employable
Student 1190,4,2,3,3,5,3,3,5,LessEmployable
Student 1191,2,4,3,4,2,4,3,4,LessEmployable
Student 1192,3,4,4,3,2,4,3,5,Employable
Student 1193,3,4,5,4,4,4,4,5,LessEmployable
Student 1194,4,4,4,4,4,3,3,5,LessEmployable
Student 1195,4,4,4,4,4,4,3,5,LessEmployable
Student 1196,5,4,4,4,1,4,4,5,LessEmployable
Student 1197,4,5,4,4,4,4,4,5,LessEmployable
Student 1198,4,5,4,5,3,5,5,5,Employable
Student 1199,2,4,4,4,5,4,4,5,Employable
Student 1200,2,4,4,4,5,4,3,4,LessEmployable
Student 1201,3,4,4,4,5,4,3,3,LessEmployable
Student 1202,5,5,4,4,2,4,5,3,LessEmployable
Student 1203,4,4,4,4,3,4,3,5,Employable
Student 1204,5,4,4,4,3,4,3,5,Employable
Student 1205,1,5,4,4,5,4,4,5,Employable
Student 1206,1,3,4,4,3,3,3,4,Employable
Student 1207,2,4,3,3,1,4,4,5,LessEmployable
Student 1208,2,5,5,5,4,5,5,5,Employable
Student 1209,3,4,5,5,5,5,4,5,Employable
Student 1210,5,4,5,5,2,5,4,5,Employable
Student 1211,4,3,5,4,1,3,3,5,Employable
Student 1212,5,4,5,5,2,4,4,4,Employable
Student 1213,3,3,5,4,2,4,3,4,LessEmployable
Student 1214,3,5,5,5,4,4,3,4,Employable
Student 1215,2,5,5,5,3,5,3,5,Employable
Student 1216,4,4,4,4,4,4,4,5,LessEmployable
Student 1217,5,3,4,4,3,3,3,5,LessEmployable
Student 1218,2,4,4,4,1,4,3,5,LessEmployable
Student 1219,1,4,5,4,2,4,3,5,LessEmployable
Student 1220,1,3,5,4,1,5,3,5,Employable
Student 1221,4,3,3,3,2,3,2,5,Employable
Student 1222,1,3,4,3,2,3,4,4,Employable
Student 1223,1,3,4,4,2,3,3,3,Employable
Student 1224,3,3,3,2,2,2,3,4,Employable
Student 1225,3,5,5,5,5,5,4,5,LessEmployable
Student 1226,3,3,4,3,5,3,4,5,LessEmployable
Student 1227,5,3,4,4,2,3,3,4,LessEmployable
Student 1228,4,3,4,4,3,3,3,5,Employable
Student 1229,2,4,4,4,1,3,3,5,Employable
Student 1230,3,4,5,5,3,5,5,5,LessEmployable
Student 1231,5,5,5,5,4,4,5,5,Employable
Student 1232,2,5,5,5,4,4,5,5,Employable
Student 1233,4,4,3,4,4,4,4,5,LessEmployable
Student 1234,3,3,4,4,3,3,3,4,LessEmployable
Student 1235,4,3,4,4,2,4,4,5,LessEmployable
Student 1236,4,3,4,4,3,4,4,5,LessEmployable
Student 1237,4,4,4,4,3,4,5,5,LessEmployable
Student 1238,4,3,3,3,2,3,3,3,Employable
Student 1239,1,3,4,3,4,3,3,3,Employable
Student 1240,5,4,3,4,3,4,3,5,Employable
Student 1241,2,4,4,3,2,4,3,4,LessEmployable
Student 1242,3,4,4,3,1,4,4,4,LessEmployable
Student 1243,2,3,2,4,2,4,3,5,LessEmployable
Student 1244,2,5,5,4,5,4,5,5,LessEmployable
Student 1245,3,2,4,4,1,3,3,5,LessEmployable
Student 1246,1,5,5,5,5,5,5,5,LessEmployable
Student 1247,3,3,3,4,5,3,3,3,Employable
Student 1248,5,4,3,3,3,3,2,3,LessEmployable
Student 1249,3,5,5,5,5,4,5,5,Employable
Student 1250,4,5,5,5,2,5,5,3,LessEmployable
Student 1251,4,5,5,3,1,5,3,5,LessEmployable
Student 1252,5,5,3,5,4,5,3,5,Employable
Student 1253,4,5,5,3,4,5,3,5,Employable
Student 1254,2,3,3,3,2,3,3,5,Employable
Student 1255,3,3,4,4,4,3,3,5,Employable
Student 1256,5,3,4,2,4,2,2,5,LessEmployable
Student 1257,3,2,3,3,2,3,3,5,LessEmployable
Student 1258,2,5,4,5,2,5,4,5,LessEmployable
Student 1259,4,4,3,4,5,4,3,5,Employable
Student 1260,4,3,3,3,3,3,3,5,Employable
Student 1261,4,4,4,4,1,4,4,5,Employable
Student 1262,5,4,4,4,5,4,4,4,Employable
Student 1263,4,4,4,4,5,3,3,5,LessEmployable
Student 1264,4,4,5,5,4,5,4,5,LessEmployable
Student 1265,3,4,3,3,1,3,3,5,LessEmployable
Student 1266,4,3,3,3,4,3,3,5,Employable
Student 1267,2,5,4,4,4,4,4,5,LessEmployable
Student 1268,4,4,4,4,4,4,4,5,Employable
Student 1269,5,5,4,5,2,4,5,4,Employable
Student 1270,2,4,4,4,3,5,5,3,Employable
Student 1271,5,3,3,4,4,3,3,5,LessEmployable
Student 1272,1,5,5,5,5,4,4,5,Employable
Student 1273,4,4,4,3,3,4,3,5,Employable
Student 1274,4,4,4,3,2,4,3,5,Employable
Student 1275,4,5,4,5,1,5,5,5,Employable
Student 1276,3,4,4,4,3,4,3,5,Employable
Student 1277,3,3,3,3,4,3,2,5,LessEmployable
Student 1278,5,3,3,2,2,3,3,5,LessEmployable
Student 1279,2,4,3,3,3,4,3,5,Employable
Student 1280,4,4,3,3,3,3,3,5,Employable
Student 1281,1,4,4,3,5,3,3,3,Employable
Student 1282,5,3,3,4,5,3,3,5,Employable
Student 1283,2,4,4,4,3,4,4,5,Employable
Student 1284,2,4,3,4,2,4,4,5,Employable
Student 1285,3,5,5,5,4,5,4,5,LessEmployable
Student 1286,2,4,4,4,3,4,4,5,Employable
Student 1287,2,3,3,2,5,3,2,5,LessEmployable
Student 1288,4,3,3,3,2,2,2,4,LessEmployable
Student 1289,2,4,3,4,2,4,3,5,LessEmployable
Student 1290,3,3,3,3,2,3,3,4,LessEmployable
Student 1291,1,3,3,3,2,3,3,4,LessEmployable
Student 1292,4,4,4,4,1,4,4,5,LessEmployable
Student 1293,5,4,4,5,2,4,4,5,LessEmployable
Student 1294,4,3,3,4,3,4,3,5,LessEmployable
Student 1295,2,4,5,4,4,4,4,5,Employable
Student 1296,4,4,4,4,3,4,4,3,Employable
Student 1297,2,4,5,5,3,5,4,5,Employable
Student 1298,1,3,3,3,3,3,3,3,LessEmployable
Student 1299,4,5,5,5,2,4,4,4,Employable
Student 1300,4,5,4,4,2,5,4,3,Employable
Student 1301,1,4,4,4,4,3,3,3,LessEmployable
Student 1302,4,5,5,5,4,4,4,3,Employable
Student 1303,3,4,4,4,3,5,4,5,Employable
Student 1304,3,5,5,5,1,5,4,5,Employable
Student 1305,4,3,4,4,4,4,3,5,LessEmployable
Student 1306,2,3,4,4,5,3,3,3,LessEmployable
Student 1307,2,5,4,5,3,4,4,5,LessEmployable
Student 1308,3,4,4,5,2,4,3,5,LessEmployable
Student 1309,2,4,5,5,2,5,5,5,Employable
Student 1310,4,3,3,4,5,3,3,3,Employable
Student 1311,2,5,5,5,2,5,4,5,Employable
Student 1312,2,5,4,5,4,5,5,5,Employable
Student 1313,3,4,3,3,2,4,4,3,LessEmployable
Student 1314,4,5,5,5,3,4,4,5,Employable
Student 1315,2,5,5,5,3,4,4,5,Employable
Student 1316,2,4,5,5,3,4,4,3,Employable
Student 1317,2,4,5,5,3,4,4,5,Employable
Student 1318,1,3,4,3,5,3,3,5,LessEmployable
Student 1319,2,4,5,5,3,4,4,5,LessEmployable
Student 1320,3,3,4,4,4,4,3,5,LessEmployable
Student 1321,4,3,3,3,3,3,3,3,LessEmployable
Student 1322,5,4,5,5,4,4,4,5,Employable
Student 1323,3,5,5,5,2,4,4,3,Employable
Student 1324,5,4,5,5,2,4,4,5,Employable
Student 1325,2,5,5,5,2,5,4,5,Employable
Student 1326,3,4,5,5,3,4,4,5,Employable
Student 1327,4,5,5,5,5,5,4,5,Employable
Student 1328,4,4,5,5,2,4,4,3,Employable
Student 1329,3,3,4,4,1,4,3,5,LessEmployable
Student 1330,2,4,4,4,2,4,4,5,LessEmployable
Student 1331,3,4,5,5,2,4,4,4,Employable
Student 1332,3,5,4,4,5,5,4,5,Employable
Student 1333,3,3,3,3,5,3,3,5,Employable
Student 1334,2,4,4,4,2,4,4,5,LessEmployable
Student 1335,3,3,3,4,3,3,3,5,Employable
Student 1336,1,4,4,3,5,3,3,5,Employable
Student 1337,2,4,4,3,4,3,3,4,LessEmployable
Student 1338,1,4,4,4,1,4,4,4,Employable
Student 1339,2,3,3,4,4,3,3,5,Employable
Student 1340,4,5,3,5,2,5,5,5,Employable
Student 1341,5,4,4,4,4,4,4,5,Employable
Student 1342,1,5,5,5,3,5,5,5,Employable
Student 1343,3,4,4,4,4,4,4,4,Employable
Student 1344,2,3,3,3,4,3,3,5,Employable
Student 1345,4,4,3,4,1,4,3,5,Employable
Student 1346,1,4,4,4,3,4,4,5,LessEmployable
Student 1347,4,3,3,3,1,3,4,5,LessEmployable
Student 1348,2,4,4,4,3,4,3,4,Employable
Student 1349,4,4,4,4,5,4,3,5,Employable
Student 1350,4,4,4,4,5,4,4,5,Employable
Student 1351,5,4,4,3,3,4,4,5,Employable
Student 1352,1,4,4,3,4,4,3,5,LessEmployable
Student 1353,2,3,2,3,4,2,3,5,Employable
Student 1354,3,3,4,3,4,3,3,4,Employable
Student 1355,4,4,3,4,2,4,3,5,LessEmployable
Student 1356,5,4,4,4,2,3,3,5,Employable
Student 1357,2,3,3,4,3,3,3,4,LessEmployable
Student 1358,3,3,3,3,1,3,2,5,Employable
Student 1359,2,4,4,4,3,4,4,5,Employable
Student 1360,4,5,4,5,5,4,4,5,Employable
Student 1361,5,4,4,3,5,4,3,5,LessEmployable
Student 1362,1,4,4,4,2,4,4,5,Employable
Student 1363,1,5,5,5,3,5,4,5,Employable
Student 1364,3,3,3,3,1,2,2,4,Employable
Student 1365,4,4,4,4,3,4,3,5,LessEmployable
Student 1366,3,4,4,4,4,4,4,5,LessEmployable
Student 1367,2,3,3,3,5,3,2,5,Employable
Student 1368,1,4,4,4,3,4,4,4,Employable
Student 1369,4,3,3,3,2,3,3,5,LessEmployable
Student 1370,4,3,4,3,3,3,3,5,Employable
Student 1371,2,3,4,3,3,3,2,5,Employable
Student 1372,2,2,3,3,3,3,3,5,LessEmployable
Student 1373,3,4,3,4,3,4,3,4,LessEmployable
Student 1374,2,4,4,3,5,4,3,5,Employable
Student 1375,2,4,5,4,2,4,4,5,LessEmployable
Student 1376,2,4,4,4,4,3,3,5,LessEmployable
Student 1377,1,4,4,4,3,4,3,5,LessEmployable
Student 1378,3,4,4,4,2,4,4,5,LessEmployable
Student 1379,1,5,4,4,2,4,4,5,LessEmployable
Student 1380,1,5,4,5,3,5,5,5,Employable
Student 1381,3,4,4,4,4,4,4,5,Employable
Student 1382,3,4,4,4,1,4,3,4,LessEmployable
Student 1383,3,4,4,4,3,4,3,3,LessEmployable
Student 1384,4,5,4,4,4,4,5,3,LessEmployable
Student 1385,4,4,4,4,3,4,3,5,Employable
Student 1386,2,4,4,4,1,4,3,5,Employable
Student 1387,2,5,4,4,4,4,4,5,Employable
Student 1388,1,3,4,4,3,3,3,4,Employable
Student 1389,4,4,3,3,4,4,4,5,LessEmployable
Student 1390,2,5,5,5,4,5,5,5,Employable
Student 1391,2,4,5,5,1,5,4,5,Employable
Student 1392,1,4,5,5,4,5,4,5,Employable
Student 1393,3,3,5,4,3,3,3,5,Employable
Student 1394,4,4,5,5,5,4,4,4,Employable
Student 1395,3,3,5,4,4,4,3,4,LessEmployable
Student 1396,3,5,5,5,3,4,3,4,Employable
Student 1397,3,5,5,5,4,5,3,5,Employable
Student 1398,1,4,4,4,3,4,4,5,LessEmployable
Student 1399,2,3,4,4,1,3,3,5,LessEmployable
Student 1400,4,4,4,4,2,4,3,5,LessEmployable
Student 1401,1,4,5,4,4,4,3,5,LessEmployable
Student 1402,4,3,5,4,1,5,3,5,Employable
Student 1403,2,3,3,3,5,3,2,5,Employable
Student 1404,1,3,4,3,2,3,4,4,Employable
Student 1405,5,3,4,4,4,3,3,3,Employable
Student 1406,2,3,3,2,1,2,3,4,Employable
Student 1407,2,5,5,5,1,5,4,5,LessEmployable
Student 1408,2,3,4,3,1,3,4,5,LessEmployable
Student 1409,4,3,4,4,1,3,3,4,LessEmployable
Student 1410,1,3,4,4,2,3,3,5,Employable
Student 1411,1,4,4,4,2,3,3,5,Employable
Student 1412,3,4,5,5,3,5,5,5,LessEmployable
Student 1413,3,5,5,5,3,4,5,5,Employable
Student 1414,2,5,5,5,3,4,5,5,Employable
Student 1415,2,4,3,4,2,4,4,5,LessEmployable
Student 1416,2,3,4,4,1,3,3,4,LessEmployable
Student 1417,3,3,4,4,4,4,4,5,LessEmployable
Student 1418,3,3,4,4,4,4,4,5,LessEmployable
Student 1419,3,4,4,4,4,4,5,5,LessEmployable
Student 1420,4,3,3,3,4,3,3,3,Employable
Student 1421,2,3,4,3,5,3,3,3,Employable
Student 1422,1,4,3,4,2,4,3,5,Employable
Student 1423,5,4,4,3,3,4,3,4,LessEmployable
Student 1424,1,4,4,3,2,4,4,4,LessEmployable
Student 1425,1,3,2,4,2,4,3,5,LessEmployable
Student 1426,4,5,5,4,2,4,5,5,LessEmployable
Student 1427,4,2,4,4,3,3,3,5,LessEmployable
Student 1428,2,5,5,5,2,5,5,5,LessEmployable
Student 1429,2,3,3,4,3,3,3,3,Employable
Student 1430,4,4,3,3,2,3,2,3,LessEmployable
Student 1431,1,5,5,5,1,4,5,5,Employable
Student 1432,5,5,5,5,1,5,5,3,LessEmployable
Student 1433,3,5,5,3,2,5,3,5,LessEmployable
Student 1434,2,5,3,5,4,5,3,5,Employable
Student 1435,1,5,5,3,4,5,3,5,Employable
Student 1436,2,3,3,3,5,3,3,5,Employable
Student 1437,2,3,4,4,2,3,3,5,Employable
Student 1438,3,3,4,2,5,2,2,5,LessEmployable
Student 1439,2,2,3,3,4,3,3,5,LessEmployable
Student 1440,2,5,4,5,1,5,4,5,LessEmployable
Student 1441,2,4,3,4,4,4,3,5,Employable
Student 1442,3,3,3,3,1,3,3,5,Employable
Student 1443,4,4,4,4,2,4,4,5,Employable
Student 1444,2,4,4,4,3,4,4,4,Employable
Student 1445,5,4,4,4,3,3,3,5,LessEmployable
Student 1446,2,4,5,5,1,5,4,5,LessEmployable
Student 1447,3,4,3,3,4,3,3,5,LessEmployable
Student 1448,3,3,3,3,5,3,3,5,Employable
Student 1449,2,5,4,4,4,4,4,5,LessEmployable
Student 1450,1,4,4,4,4,4,4,5,Employable
Student 1451,3,5,4,5,1,4,5,4,Employable
Student 1452,3,4,4,4,2,5,5,3,Employable
Student 1453,4,3,3,4,4,3,3,5,LessEmployable
Student 1454,2,5,5,5,1,4,4,5,Employable
Student 1455,2,4,4,3,2,4,3,5,Employable
Student 1456,3,4,4,3,3,4,3,5,Employable
Student 1457,5,5,4,5,5,5,5,5,Employable
Student 1458,4,4,4,4,4,4,3,5,Employable
Student 1459,3,3,3,3,4,3,2,5,LessEmployable
Student 1460,2,3,3,2,4,3,3,5,LessEmployable
Student 1461,4,4,3,3,2,4,3,5,Employable
Student 1462,3,4,3,3,3,3,3,5,Employable
Student 1463,2,4,4,3,2,3,3,3,Employable
Student 1464,3,3,3,4,4,3,3,5,Employable
Student 1465,1,4,4,4,2,4,4,5,Employable
Student 1466,4,4,3,4,3,4,4,5,Employable
Student 1467,5,5,5,5,3,5,4,5,LessEmployable
Student 1468,2,4,4,4,1,4,4,5,Employable
Student 1469,4,3,3,2,5,3,2,5,LessEmployable
Student 1470,4,3,3,3,2,2,2,4,LessEmployable
Student 1471,2,4,3,4,1,4,3,5,LessEmployable
Student 1472,3,3,3,3,2,3,3,4,LessEmployable
Student 1473,2,3,3,3,4,3,3,4,LessEmployable
Student 1474,2,4,4,4,2,4,4,5,LessEmployable
Student 1475,4,4,4,5,3,4,4,5,LessEmployable
Student 1476,2,3,3,4,3,4,3,5,LessEmployable
Student 1477,5,4,5,4,3,4,4,5,Employable
Student 1478,2,4,4,4,3,4,4,3,Employable
Student 1479,4,4,5,5,4,5,4,5,Employable
Student 1480,2,3,3,3,3,3,3,3,LessEmployable
Student 1481,2,5,5,5,2,4,4,4,Employable
Student 1482,4,5,4,4,4,5,4,3,Employable
Student 1483,2,4,4,4,1,3,3,3,LessEmployable
Student 1484,1,5,5,5,3,4,4,3,Employable
Student 1485,5,4,4,4,2,5,4,5,Employable
Student 1486,3,5,5,5,5,5,4,5,Employable
Student 1487,3,3,4,4,5,4,3,5,LessEmployable
Student 1488,3,3,4,4,4,3,3,3,LessEmployable
Student 1489,2,5,4,5,2,4,4,5,LessEmployable
Student 1490,3,4,4,5,3,4,3,5,LessEmployable
Student 1491,3,4,5,5,5,5,5,5,Employable
Student 1492,2,3,3,4,1,3,3,3,Employable
Student 1493,3,5,5,5,4,5,4,5,Employable
Student 1494,4,5,4,5,2,5,5,5,Employable
Student 1495,1,4,3,3,1,4,4,3,LessEmployable
Student 1496,3,5,5,5,4,4,4,5,Employable
Student 1497,5,5,5,5,4,4,4,5,Employable
Student 1498,3,4,5,5,2,4,4,3,Employable
Student 1499,2,4,5,5,3,4,4,5,Employable
Student 1500,1,3,4,3,3,3,3,5,LessEmployable
Student 1501,3,4,5,5,1,4,4,5,LessEmployable
Student 1502,1,3,4,4,5,4,3,5,LessEmployable
Student 1503,3,3,3,3,4,3,3,3,LessEmployable
Student 1504,2,4,5,5,1,4,4,5,Employable
Student 1505,3,5,5,5,2,4,4,3,Employable
Student 1506,3,4,5,5,3,4,4,5,Employable
Student 1507,2,5,5,5,3,5,4,5,Employable
Student 1508,1,4,5,5,4,4,4,5,Employable
Student 1509,2,5,5,5,2,5,4,5,Employable
Student 1510,2,4,5,5,3,4,4,3,Employable
Student 1511,1,3,4,4,5,4,3,5,LessEmployable
Student 1512,3,4,4,4,2,4,4,5,LessEmployable
Student 1513,4,4,5,5,4,4,4,4,Employable
Student 1514,2,5,4,4,5,5,4,5,Employable
Student 1515,4,3,3,3,4,3,3,5,Employable
Student 1516,1,4,4,4,2,4,4,5,LessEmployable
Student 1517,4,3,3,4,4,3,3,5,Employable
Student 1518,2,4,4,3,2,3,3,5,Employable
Student 1519,4,4,4,3,4,3,3,4,LessEmployable
Student 1520,4,4,4,4,4,4,4,4,Employable
Student 1521,2,3,3,4,4,3,3,5,Employable
Student 1522,1,5,3,5,2,5,5,5,Employable
Student 1523,2,4,4,4,1,4,4,5,Employable
Student 1524,2,5,5,5,4,5,5,5,Employable
Student 1525,3,4,4,4,2,4,4,4,Employable
Student 1526,4,3,3,3,1,3,3,5,Employable
Student 1527,1,4,3,4,4,4,3,5,Employable
Student 1528,1,4,4,4,3,4,4,5,LessEmployable
Student 1529,2,3,3,3,1,3,4,5,LessEmployable
Student 1530,3,4,4,4,3,4,3,4,Employable
Student 1531,4,4,4,4,1,4,3,5,Employable
Student 1532,3,4,4,4,3,4,4,5,Employable
Student 1533,3,4,4,3,5,4,4,5,Employable
Student 1534,3,4,4,3,4,4,3,5,LessEmployable
Student 1535,4,3,2,3,2,2,3,5,Employable
Student 1536,1,3,4,3,1,3,3,4,Employable
Student 1537,2,4,3,4,3,4,3,5,LessEmployable
Student 1538,5,4,4,4,1,3,3,5,Employable
Student 1539,5,3,3,4,1,3,3,4,LessEmployable
Student 1540,5,3,3,3,2,3,2,5,Employable
Student 1541,4,4,4,4,3,4,4,5,Employable
Student 1542,3,5,4,5,3,4,4,5,Employable
Student 1543,2,4,4,3,3,4,3,5,LessEmployable
Student 1544,2,4,4,4,3,4,4,5,Employable
Student 1545,1,5,5,5,2,5,4,5,Employable
Student 1546,4,3,3,3,5,2,2,4,Employable
Student 1547,4,4,4,4,2,4,3,5,LessEmployable
Student 1548,4,4,4,4,3,4,4,5,LessEmployable
Student 1549,4,3,3,3,2,3,2,5,Employable
Student 1550,2,4,4,4,4,4,4,4,Employable
Student 1551,3,3,3,3,1,3,3,5,LessEmployable
Student 1552,3,3,4,3,2,3,3,5,Employable
Student 1553,3,3,4,3,4,3,2,5,Employable
Student 1554,2,2,3,3,2,3,3,5,LessEmployable
Student 1555,4,4,3,4,5,4,3,4,LessEmployable
Student 1556,4,4,4,3,2,4,3,5,Employable
Student 1557,3,4,5,4,3,4,4,5,LessEmployable
